year,electricity_supplied
1922,3.98
1923,3.61
1924,4.23
1925,4.93
1926,5.63
1927,6.18
1928,6.53
1929,7.93
1930,8.75
1931,9.76
1932,10.26
1933,10.76
1934,11.54
1935,12.78
1936,14.58
1937,16.60
1938,19.17
1939,21.67
1940,23.09
1941,25.02
1942,27.21
1943,30.59
1944,33.69
1945,34.92
1946,36.20
1947,35.15
1948,38.93
1949,40.17
1950,43.40
1951,45.82
1952,51.47
1953,56.19
1954,58.40
1955,61.64
1956,68.57
1957,75.33
1958,81.92
1959,85.50
1960,92.69
1961,98.94
1962,116.96
1963,120.07
1964,132.77
1965,162.65
1966,170.95
1967,169.57
1968,175.38
1969,181.14
1970,193.56
1971,206.37
1972,215.76
1973,222.92
1974,229.45
1975,245.42
1976,237.21
1977,237.76
1978,240.22
1979,246.82
1980,252.65
1981,264.34
1982,252.02
1983,246.60
1984,242.48
1985,246.15
1986,251.47
1987,263.56
1988,266.81
1989,278.48
1990,279.71
1991,285.71
1992,291.75
1993,297.50
1994,300.65
1995,298.55
1996,301.87
1997,306.94
1998,317.63
1999,332.36
2000,331.63
2001,342.70
2002,347.67
2003,357.27
2004,364.17
2005,366.66
2006,376.53
2007,373.40
2008,376.78
2009,373.86
2010,374.06
2011,367.18
2012,355.31
2013,361.73
2014,347.69
2015,341.91
2016,336.50
2017,317.73
2018,318.51
2019,319.88
2020,318.87
2021,315.16
2022,310.21
2023,298.21
2024,293.95
2025,310.10
